,permno,permco,shrcd,exchcd,jdate,beta,comnam,cusip,ticker,siccd,sicdate,indCode,industry,indDesc,enddate
0,18926,56883,11,2,00:00.0,-0.594329329,EQUINOX GOLD CORP,29446Y50,EQX,1081,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
15,70704,4246,11,1,00:00.0,-0.317147843,MCEWEN MINING INC,58039P10,MUX,1481,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
22,21207,21286,11,1,00:00.0,-0.120831039,NEWMONT GOLDCORP CORP,65163910,NEM,1041,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
24,15302,55235,11,3,00:00.0,-0.119752089,VIRTU FINANCIAL INC,92825410,VIRT,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
25,18844,56793,11,3,00:00.0,-0.053854461,HAYMAKER ACQUISITION CORP II,42087L10,HYAC,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
27,17366,56276,11,3,00:00.0,-0.027705088,MUDRICK CAPITAL ACQUISITION CORP,62474510,MUDS,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
30,18776,56742,11,3,00:00.0,-0.025228658,IMMUNOVANT INC,45258J10,IMVT,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
31,17201,56115,11,1,00:00.0,-0.008095263,MOSAIC ACQUISITION CORP DE,61946M10,MOSC,6799,00:00.0,11,Money,Finance,39:15.5
32,18778,56745,11,3,00:00.0,-0.002413269,LANDCADIA HOLDINGS II INC,51476X10,LCA,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
34,17684,56269,11,3,00:00.0,-0.001569783,ADAPTHEALTH CORP,00653Q10,AHCO,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
36,18114,56484,11,3,00:00.0,0.002087272,FORUM MERGER II CORP,34986F10,FMCI,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
37,18202,56522,11,3,00:00.0,0.006964442,GORES HOLDINGS III INC,38286G10,GRSH,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
38,18845,56830,11,3,00:00.0,0.010683021,IHEARTMEDIA INC,45174J50,IHRT,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
48,32651,20897,11,1,00:00.0,0.010891205,HECLA MINING CO,42270410,HL,1041,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
57,24441,1071,11,1,00:00.0,0.015161094,COEUR MINING INC,19210850,CDE,1041,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
58,18184,56480,11,1,00:00.0,0.017864381,SPARTAN ENERGY ACQUISITION CORP,84678410,SPAQ,2782,00:00.0,1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",39:15.5
59,18539,56638,11,1,00:00.0,0.017991834,TORTOISE ACQUISITION CORP,89154L10,SHLL,7389,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
60,18162,56547,11,3,00:00.0,0.023029669,GRAF INDUSTRIAL CORP,38427810,GRAF,6799,00:00.0,11,Money,Finance,39:15.5
62,18552,56644,11,3,00:00.0,0.028814865,DIAMONDPEAK HOLDINGS CORP,25280H10,DPHC,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
63,18937,56815,11,1,00:00.0,0.046262489,SWITCHBACK ENERGY ACQ CORP,87105M10,SBE,6799,00:00.0,11,Money,Finance,39:15.5
64,17367,56235,11,3,00:00.0,0.054491904,NEBULA ACQUISITION CORP,62907610,NEBU,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
65,17987,56432,11,1,00:00.0,0.05610727,G S ACQUISITION HLDGS CORP,36255F10,GSAH,6799,00:00.0,11,Money,Finance,39:15.5
